TIMESTAMP | LEVEL | TYPE | APPLICATION | DETAILS
2025-06-01 19:20:08.925 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 856 denied requests in the last 60 seconds.
2025-06-01 19:20:08.942 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 857 denied requests in the last 60 seconds.
2025-06-01 19:20:08.957 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 858 denied requests in the last 60 seconds.
2025-06-01 19:20:08.965 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 859 denied requests in the last 60 seconds.
2025-06-01 19:20:08.976 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 860 denied requests in the last 60 seconds.
2025-06-01 19:20:08.982 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 861 denied requests in the last 60 seconds.
2025-06-01 19:20:08.998 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 862 denied requests in the last 60 seconds.
2025-06-01 19:20:09.012 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 863 denied requests in the last 60 seconds.
2025-06-01 19:20:09.030 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 864 denied requests in the last 60 seconds.
2025-06-01 19:20:09.051 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 865 denied requests in the last 60 seconds.
2025-06-01 19:20:09.113 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 866 denied requests in the last 60 seconds.
2025-06-01 19:20:09.205 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 867 denied requests in the last 60 seconds.
2025-06-01 19:20:09.300 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 868 denied requests in the last 60 seconds.
2025-06-01 19:20:09.306 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 869 denied requests in the last 60 seconds.
2025-06-01 19:20:09.331 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 870 denied requests in the last 60 seconds.
2025-06-01 19:20:09.390 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 871 denied requests in the last 60 seconds.
2025-06-01 19:20:09.469 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 872 denied requests in the last 60 seconds.
2025-06-01 19:20:09.476 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 873 denied requests in the last 60 seconds.
2025-06-01 19:20:09.509 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 874 denied requests in the last 60 seconds.
2025-06-01 19:20:09.552 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 875 denied requests in the last 60 seconds.
2025-06-01 19:20:09.574 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 876 denied requests in the last 60 seconds.
2025-06-01 19:20:09.599 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 877 denied requests in the last 60 seconds.
2025-06-01 19:20:09.600 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 878 denied requests in the last 60 seconds.
2025-06-01 19:20:09.631 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 879 denied requests in the last 60 seconds.
2025-06-01 19:20:09.649 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 880 denied requests in the last 60 seconds.
2025-06-01 19:20:09.663 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 881 denied requests in the last 60 seconds.
2025-06-01 19:20:09.670 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 882 denied requests in the last 60 seconds.
2025-06-01 19:20:09.678 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 883 denied requests in the last 60 seconds.
2025-06-01 19:20:09.682 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 884 denied requests in the last 60 seconds.
2025-06-01 19:20:09.689 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 885 denied requests in the last 60 seconds.
2025-06-01 19:20:09.696 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 886 denied requests in the last 60 seconds.
2025-06-01 19:20:09.699 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 887 denied requests in the last 60 seconds.
2025-06-01 19:20:09.703 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 888 denied requests in the last 60 seconds.
2025-06-01 19:20:09.712 | HIGH | EXCESSIVE_DENIES | GenericUDP | Application 'GenericUDP' has 889 denied requests in the last 60 seconds.
